path,reading,additional_info
images/1_りねぞるむ・おるきでえ.png,りねぞるむ・おるきでえ,黒死館殺人事件／小栗虫太郎 著　文学の漢字　11文字指定
images/2_あだしごとはさておき.png,あだしごとはさておき,青蛙堂鬼談／岡本綺堂 著　文学の漢字　10文字指定
images/3_わっせるしゅてるつぇ.png,わっせるしゅてるつぇ,スウィス日記／辻村伊助 著　文学の漢字　10文字指定
images/4_しゃろわーるい.png,しゃろわーるい,ディカーニカ近郷夜話／ニコライ・ゴーゴリ 著　文学の漢字　7文字指定
images/5_あわてふためいて.png,あわてふためい'て',海島冒険奇譚／押川春浪 著　文学の漢字　7文字指定
images/6_びしずんがる.png,びしずんがる,若き日の成吉思汗／牧逸馬 著　文学の漢字　6文字指定
images/7_うるとらめえる.png,うるとらめえる,プルウストの文体について／堀辰雄 著　文学の漢字　7文字指定
images/8_あいんふゅーるんぐ.png,あいんふゅーるんぐ,「見ること」の意味／中井正一 著　文学の漢字　9文字指定
images/9_なりんくまーる.png,なりんくまーる,ナリン殿下への回想／橘外男 著　文学の漢字　7文字指定
images/10_でぃ・えるみゅどぅんぐ.png,でぃ・えるみゅどぅんぐ,黒死館殺人事件／小栗虫太郎 著　文学の漢字　11文字指定
images/11_ぎよちーぬ.png,ぎよちーぬ,犂氏の友情／久生十蘭 著　文学の漢字　5文字指定
"images/12_らぎゅいよちーん,らぎゅいよけーん.png",らぎゅいよちーん、らぎゅいよけーん,秘密の庭／ギルバート・キース・チェスタートン 著　文学の漢字　8文字指定
images/13_こしのおほぼね.png,こしのおほぼね,ランボオ詩集／ジャン・ニコラ・アルチュール・ランボー 著　文学の漢字　7文字指定
images/14_ぞるれん.png,ぞるれん,詩に関する話／中原中也 著　文学の漢字　4文字指定
images/15_ぴさーちぇりにっつぁ.png,ぴさーちぇりにっつぁ,三月八日は女の日だ／宮本百合子 著　文学の漢字　10文字指定
images/16_しゅぱぬんぐ.png,しゅぱぬんぐ,スポーツの美的要素／中井正一 著　文学の漢字　6文字指定
images/17_とらもんたあね.png,とらもんたあね,海郷風物記／木下杢太郎 著　文学の漢字　7文字指定
images/18_ろーずんぐ.png,ろーずんぐ,モスクワ印象記／宮本百合子 著　文学の漢字　5文字指定
images/19_でっさんぶる.png,でっさんぶる,ノンシャラン道中記／久生十蘭 著　文学の漢字　6文字指定
images/20_ぱんくちゅありちー.png,ぱんくちゅありちー,求婚三銃士／佐々木邦 著　文学の漢字　9文字指定
images/21_ちたん.png,ちたん,元素　3文字指定
images/22_あるみにうむ.png,あるみにうむ,元素　6文字指定
images/23_まぐねしうむ.png,まぐねしうむ,元素　6文字指定
images/24_おすみうむ.png,おすみうむ,元素　5文字指定
images/25_いりじうむ.png,いりじうむ,元素　5文字指定
images/26_いっとりうむ.png,いっとりうむ,元素　6文字指定
images/27_べりりうむ.png,べりりうむ,元素　5文字指定
images/28_らざほーじうむ.png,らざほーじうむ,元素　7文字指定
images/29_ど.png,ど,1文字指定　音読み指定
"images/30_か,け,げ.png",か、け、げ,1文字指定　音読み指定
images/31_だいれくたー.png,だいれくたー,海島冒険奇譚／押川春浪 著　文学の漢字　6文字指定
images/32_あぷらいとピアノ.png,あぷらいと'ピアノ',音波の殺人／野村胡堂 著　文学の漢字　5文字指定
images/33_さーじぇん.png,さーじぇん,地底獣国／久生十蘭 著　文学の漢字　5文字指定
